"Nazwa uczelni","Nazwa kierunku studiów","Podstawowe informacje","Liczba studentów","Udział kobiet wśród studentów","Liczba kobiet wśród studentów","Udział studentów cudzoziemców","Liczba studentów cudzoziemców"
"Wojskowa Akademia Techniczna im. Jarosława Dąbrowskiego(strona rekrutacyjna)",informatyka,"profil studiów: ogólnoakademickie uzyskiwany tytuł: inżynier lub inny równorzędny język kształcenia: polski",43,"9,3%",4,"20,9%",9
"Wrocławska Akademia Biznesu w Naukach Stosowanych(strona rekrutacyjna)",informatyka,"profil studiów: praktyczne uzyskiwany tytuł: inżynier lub inny równorzędny język kształcenia: angielski",27,"7,4%",2,"100,0%",27
"Wrocławska Akademia Biznesu w Naukach Stosowanych(strona rekrutacyjna)",informatyka,"profil studiów: praktyczne uzyskiwany tytuł: inżynier lub inny równorzędny język kształcenia: polski",123,"22,8%",28,"88,6%",109
"Wrocławska Akademia Biznesu w Naukach Stosowanych(strona rekrutacyjna)",informatyka,"profil studiów: praktyczne uzyskiwany tytuł: licencjat lub inny równorzędny język kształcenia: angielski",0,"",0,"",0
"Wrocławska Akademia Biznesu w Naukach Stosowanych(strona rekrutacyjna)",informatyka,"profil studiów: praktyczne uzyskiwany tytuł: licencjat lub inny równorzędny język kształcenia: polski",146,"19,9%",29,"91,1%",133
"Wrocławska Wyższa Szkoła Informatyki Stosowanej we Wrocławiu(strona rekrutacyjna)",informatyka,"profil studiów: praktyczne uzyskiwany tytuł: inżynier lub inny równorzędny język kształcenia: angielski",14,"0,0%",0,"92,9%",13
"Wrocławska Wyższa Szkoła Informatyki Stosowanej we Wrocławiu(strona rekrutacyjna)",informatyka,"profil studiów: praktyczne uzyskiwany tytuł: inżynier lub inny równorzędny język kształcenia: polski",34,"0,0%",0,"29,4%",10
"Wrocławska Wyższa Szkoła Informatyki Stosowanej we Wrocławiu(strona rekrutacyjna)",informatyka,"profil studiów: praktyczne uzyskiwany tytuł: licencjat lub inny równorzędny język kształcenia: polski",6,"16,7%",1,"66,7%",4
"Wyższa Szkoła Biznesu - National Louis University z siedzibą w Nowym Sączu(strona rekrutacyjna)",informatyka,"profil studiów: praktyczne uzyskiwany tytuł: inżynier lub inny równorzędny język kształcenia: angielski",0,"",0,"",0
"Wyższa Szkoła Biznesu - National Louis University z siedzibą w Nowym Sączu(strona rekrutacyjna)",informatyka,"profil studiów: praktyczne uzyskiwany tytuł: inżynier lub inny równorzędny język kształcenia: angielski",33,"18,2%",6,"21,2%",7
"Wyższa Szkoła Biznesu - National Louis University z siedzibą w Nowym Sączu(strona rekrutacyjna)",informatyka,"profil studiów: praktyczne uzyskiwany tytuł: inżynier lub inny równorzędny język kształcenia: polski",0,"",0,"",0
"Wyższa Szkoła Biznesu - National Louis University z siedzibą w Nowym Sączu(strona rekrutacyjna)",informatyka,"profil studiów: praktyczne uzyskiwany tytuł: inżynier lub inny równorzędny język kształcenia: rosyjski",0,"",0,"",0
"Wyższa Szkoła Ekologii i Zarządzania w Warszawie(strona rekrutacyjna)",informatyka,"profil studiów: praktyczne uzyskiwany tytuł: inżynier lub inny równorzędny język kształcenia: angielski",87,"10,3%",9,"100,0%",87
